STEVAL-MKI197V1 (LSM6DSOX)

A_X [LSB] 	 A_Y [LSB] 	 A_Z [LSB] 	A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	INT1 	 INT2 	
3418 	 -428 	 -14125 	833.992 	 -104.432 	 -3446.5 	0 	 0 	
181 	 -3569 	 -22663 	44.164 	 -870.836 	 -5529.77 	0 	 0 	
-7132 	 -4696 	 -25863 	-1740.21 	 -1145.82 	 -6310.57 	0 	 0 	
-8029 	 -2438 	 -21418 	-1959.08 	 -594.872 	 -5225.99 	0 	 0 	
-6639 	 1439 	 -11095 	-1619.92 	 351.116 	 -2707.18 	0 	 0 	
-3904 	 8570 	 -4754 	-952.576 	 2091.08 	 -1159.98 	0 	 0 	
2896 	 14592 	 5018 	706.624 	 3560.45 	 1224.39 	0 	 0 	
6284 	 22280 	 24352 	1533.3 	 5436.32 	 5941.89 	0 	 0 	
3322 	 17345 	 32760 	810.568 	 4232.18 	 7993.44 	0 	 0 	
-1048 	 15125 	 32419 	-255.712 	 3690.5 	 7910.24 	0 	 0 	
-1561 	 10729 	 19929 	-380.884 	 2617.88 	 4862.68 	0 	 0 	
425 	 8523 	 10351 	103.7 	 2079.61 	 2525.64 	0 	 0 	
2861 	 5298 	 10407 	698.084 	 1292.71 	 2539.31 	0 	 0 	
2332 	 4727 	 10685 	569.008 	 1153.39 	 2607.14 	0 	 0 	
129 	 3554 	 7730 	31.476 	 867.176 	 1886.12 	0 	 0 	
-212 	 2324 	 3805 	-51.728 	 567.056 	 928.42 	0 	 0 	
-360 	 855 	 -52 	-87.84 	 208.62 	 -12.688 	0 	 0 	
-503 	 487 	 -3609 	-122.732 	 118.828 	 -880.596 	0 	 0 	
-2477 	 572 	 -8288 	-604.388 	 139.568 	 -2022.27 	0 	 0 	
-4583 	 -2561 	 -14574 	-1118.25 	 -624.884 	 -3556.06 	0 	 0 	
-8250 	 -5845 	 -19661 	-2013 	 -1426.18 	 -4797.28 	0 	 0 	
-6753 	 -7725 	 -22802 	-1647.73 	 -1884.9 	 -5563.69 	0 	 0 	
-2119 	 -5099 	 -17869 	-517.036 	 -1244.16 	 -4360.04 	0 	 0 	
-585 	 3257 	 -8133 	-142.74 	 794.708 	 -1984.45 	0 	 0 	
4583 	 6805 	 1491 	1118.25 	 1660.42 	 363.804 	0 	 0 	
8995 	 13847 	 15314 	2194.78 	 3378.67 	 3736.62 	0 	 0 	
4637 	 15725 	 32082 	1131.43 	 3836.9 	 7828.01 	0 	 0 	
299 	 19609 	 27852 	72.956 	 4784.6 	 6795.89 	0 	 0 	
-1613 	 13064 	 19229 	-393.572 	 3187.62 	 4691.88 	0 	 0 	
-1950 	 9014 	 11028 	-475.8 	 2199.42 	 2690.83 	0 	 0 	
-1557 	 5456 	 7252 	-379.908 	 1331.26 	 1769.49 	0 	 0 	
-1254 	 3681 	 4989 	-305.976 	 898.164 	 1217.32 	0 	 0 	
-570 	 1400 	 -63 	-139.08 	 341.6 	 -15.372 	0 	 0 	
-1107 	 -2105 	 -5937 	-270.108 	 -513.62 	 -1448.63 	0 	 0 	
-5254 	 -3908 	 -9962 	-1281.98 	 -953.552 	 -2430.73 	0 	 0 	
-5334 	 -7179 	 -11512 	-1301.5 	 -1751.68 	 -2808.93 	0 	 0 	
-3429 	 -6579 	 -11054 	-836.676 	 -1605.28 	 -2697.18 	0 	 0 	
-2241 	 -3746 	 -7788 	-546.804 	 -914.024 	 -1900.27 	0 	 0 	
680 	 -826 	 -5674 	165.92 	 -201.544 	 -1384.46 	0 	 0 	
5121 	 2206 	 -1651 	1249.52 	 538.264 	 -402.844 	0 	 0 	
8847 	 4325 	 4140 	2158.67 	 1055.3 	 1010.16 	0 	 0 	
11033 	 5062 	 9093 	2692.05 	 1235.13 	 2218.69 	0 	 0 	
8838 	 5394 	 12696 	2156.47 	 1316.14 	 3097.82 	0 	 0 	
7251 	 6280 	 9521 	1769.24 	 1532.32 	 2323.12 	0 	 0 	
6417 	 5586 	 4502 	1565.75 	 1362.98 	 1098.49 	0 	 0 	
5611 	 3256 	 2932 	1369.08 	 794.464 	 715.408 	0 	 0 	
2674 	 350 	 41 	652.456 	 85.4 	 10.004 	0 	 0 	
2902 	 -1475 	 -2826 	708.088 	 -359.9 	 -689.544 	0 	 0 	
3616 	 -2693 	 -4952 	882.304 	 -657.092 	 -1208.29 	0 	 0 	
3305 	 -2169 	 -4337 	806.42 	 -529.236 	 -1058.23 	0 	 0 	
3434 	 -1066 	 -3084 	837.896 	 -260.104 	 -752.496 	0 	 0 	
4004 	 -137 	 -2560 	976.976 	 -33.428 	 -624.64 	0 	 0 	
3575 	 -356 	 -849 	872.3 	 -86.864 	 -207.156 	0 	 0 	
3497 	 475 	 -210 	853.268 	 115.9 	 -51.24 	0 	 0 	
4037 	 983 	 -463 	985.028 	 239.852 	 -112.972 	0 	 0 	
4281 	 148 	 -339 	1044.56 	 36.112 	 -82.716 	0 	 0 	
4328 	 383 	 -103 	1056.03 	 93.452 	 -25.132 	0 	 0 	
4408 	 435 	 -312 	1075.55 	 106.14 	 -76.128 	0 	 0 	
4378 	 479 	 -658 	1068.23 	 116.876 	 -160.552 	0 	 0 	
4297 	 327 	 -924 	1048.47 	 79.788 	 -225.456 	0 	 0 	
4468 	 200 	 -1482 	1090.19 	 48.8 	 -361.608 	0 	 0 	
4456 	 138 	 -1595 	1087.26 	 33.672 	 -389.18 	0 	 0 	
4257 	 248 	 -1178 	1038.71 	 60.512 	 -287.432 	0 	 0 	
4390 	 374 	 -1083 	1071.16 	 91.256 	 -264.252 	0 	 0 	
4249 	 449 	 -1012 	1036.76 	 109.556 	 -246.928 	0 	 0 	
4148 	 472 	 -891 	1012.11 	 115.168 	 -217.404 	0 	 0 	
4252 	 398 	 -866 	1037.49 	 97.112 	 -211.304 	0 	 0 	
4216 	 347 	 -805 	1028.7 	 84.668 	 -196.42 	0 	 0 	
4374 	 281 	 -989 	1067.26 	 68.564 	 -241.316 	0 	 0 	
4271 	 222 	 -954 	1042.12 	 54.168 	 -232.776 	0 	 0 	
4157 	 255 	 -865 	1014.31 	 62.22 	 -211.06 	0 	 0 	
4207 	 181 	 -999 	1026.51 	 44.164 	 -243.756 	0 	 0 	
4182 	 158 	 -1081 	1020.41 	 38.552 	 -263.764 	0 	 0 	
3999 	 204 	 -1106 	975.756 	 49.776 	 -269.864 	0 	 0 	
3922 	 138 	 -1232 	956.968 	 33.672 	 -300.608 	0 	 0 	
3926 	 130 	 -1314 	957.944 	 31.72 	 -320.616 	0 	 0 	
3879 	 159 	 -1284 	946.476 	 38.796 	 -313.296 	0 	 0 	
3885 	 132 	 -1245 	947.94 	 32.208 	 -303.78 	0 	 0 	
3926 	 131 	 -1289 	957.944 	 31.964 	 -314.516 	0 	 0 	
4022 	 112 	 -1111 	981.368 	 27.328 	 -271.084 	0 	 0 	
4025 	 216 	 -934 	982.1 	 52.704 	 -227.896 	0 	 0 	
3996 	 331 	 -943 	975.024 	 80.764 	 -230.092 	0 	 0 	
4061 	 309 	 -925 	990.884 	 75.396 	 -225.7 	0 	 0 	
4023 	 361 	 -999 	981.612 	 88.084 	 -243.756 	0 	 0 	
4015 	 331 	 -1012 	979.66 	 80.764 	 -246.928 	0 	 0 	
3938 	 319 	 -1018 	960.872 	 77.836 	 -248.392 	0 	 0 	
3808 	 293 	 -969 	929.152 	 71.492 	 -236.436 	0 	 0 	
3723 	 291 	 -998 	908.412 	 71.004 	 -243.512 	0 	 0 	
3740 	 268 	 -1029 	912.56 	 65.392 	 -251.076 	0 	 0 	
3672 	 304 	 -980 	895.968 	 74.176 	 -239.12 	0 	 0 	
3713 	 332 	 -1050 	905.972 	 81.008 	 -256.2 	0 	 0 	
3884 	 300 	 -1127 	947.696 	 73.2 	 -274.988 	0 	 0 	
3974 	 318 	 -998 	969.656 	 77.592 	 -243.512 	0 	 0 	
4079 	 315 	 -914 	995.276 	 76.86 	 -223.016 	0 	 0 	
4127 	 417 	 -990 	1006.99 	 101.748 	 -241.56 	0 	 0 	
4041 	 404 	 -974 	986.004 	 98.576 	 -237.656 	0 	 0 	
4057 	 356 	 -1056 	989.908 	 86.864 	 -257.664 	0 	 0 	
4119 	 338 	 -1168 	1005.04 	 82.472 	 -284.992 	0 	 0 	
4056 	 292 	 -1122 	989.664 	 71.248 	 -273.768 	0 	 0 	
4043 	 223 	 -1277 	986.492 	 54.412 	 -311.588 	0 	 0 	
3972 	 211 	 -1330 	969.168 	 51.484 	 -324.52 	0 	 0 	
3962 	 198 	 -1288 	966.728 	 48.312 	 -314.272 	0 	 0 	
3944 	 266 	 -1184 	962.336 	 64.904 	 -288.896 	0 	 0 	
3923 	 331 	 -1096 	957.212 	 80.764 	 -267.424 	0 	 0 	
3956 	 296 	 -1010 	965.264 	 72.224 	 -246.44 	0 	 0 	
4006 	 311 	 -1146 	977.464 	 75.884 	 -279.624 	0 	 0 	
3931 	 291 	 -1181 	959.164 	 71.004 	 -288.164 	0 	 0 	
3875 	 292 	 -1145 	945.5 	 71.248 	 -279.38 	0 	 0 	
3895 	 279 	 -1112 	950.38 	 68.076 	 -271.328 	0 	 0 	
3970 	 284 	 -1120 	968.68 	 69.296 	 -273.28 	0 	 0 	
3872 	 339 	 -1050 	944.768 	 82.716 	 -256.2 	0 	 0 	
3819 	 336 	 -1058 	931.836 	 81.984 	 -258.152 	0 	 0 	
3937 	 200 	 -1159 	960.628 	 48.8 	 -282.796 	0 	 0 	
3868 	 273 	 -1121 	943.792 	 66.612 	 -273.524 	0 	 0 	
3680 	 345 	 -1019 	897.92 	 84.18 	 -248.636 	0 	 0 	
3667 	 359 	 -1150 	894.748 	 87.596 	 -280.6 	0 	 0 	
3777 	 395 	 -1121 	921.588 	 96.38 	 -273.524 	0 	 0 	
3931 	 352 	 -1210 	959.164 	 85.888 	 -295.24 	0 	 0 	
3902 	 369 	 -1275 	952.088 	 90.036 	 -311.1 	0 	 0 	
3850 	 413 	 -1227 	939.4 	 100.772 	 -299.388 	0 	 0 	
3846 	 462 	 -1178 	938.424 	 112.728 	 -287.432 	0 	 0 	
4050 	 395 	 -1228 	988.2 	 96.38 	 -299.632 	0 	 0 	
4161 	 365 	 -1220 	1015.28 	 89.06 	 -297.68 	0 	 0 	
4105 	 364 	 -1265 	1001.62 	 88.816 	 -308.66 	0 	 0 	
4075 	 203 	 -1382 	994.3 	 49.532 	 -337.208 	0 	 0 	
3937 	 51 	 -1607 	960.628 	 12.444 	 -392.108 	0 	 0 	
3715 	 -62 	 -1708 	906.46 	 -15.128 	 -416.752 	0 	 0 	
3859 	 325 	 -1562 	941.596 	 79.3 	 -381.128 	0 	 0 	
4029 	 352 	 -1498 	983.076 	 85.888 	 -365.512 	0 	 0 	
4019 	 213 	 -2340 	980.636 	 51.972 	 -570.96 	0 	 0 	
4083 	 -164 	 -3405 	996.252 	 -40.016 	 -830.82 	0 	 0 	
4293 	 -309 	 -3117 	1047.49 	 -75.396 	 -760.548 	0 	 0 	
5019 	 182 	 -2631 	1224.64 	 44.408 	 -641.964 	0 	 0 	
5327 	 678 	 -2774 	1299.79 	 165.432 	 -676.856 	0 	 0 	
4888 	 970 	 -2527 	1192.67 	 236.68 	 -616.588 	0 	 0 	
3766 	 866 	 -2264 	918.904 	 211.304 	 -552.416 	0 	 0 	
2355 	 1084 	 -1759 	574.62 	 264.496 	 -429.196 	0 	 0 	
1102 	 819 	 -926 	268.888 	 199.836 	 -225.944 	0 	 0 	
1538 	 333 	 -693 	375.272 	 81.252 	 -169.092 	0 	 0 	
2563 	 1264 	 -425 	625.372 	 308.416 	 -103.7 	0 	 0 	
2716 	 540 	 1259 	662.704 	 131.76 	 307.196 	0 	 0 	
2699 	 225 	 2987 	658.556 	 54.9 	 728.828 	0 	 0 	
3070 	 -1000 	 4103 	749.08 	 -244 	 1001.13 	0 	 0 	
3482 	 -518 	 4240 	849.608 	 -126.392 	 1034.56 	0 	 0 	
4021 	 -121 	 4541 	981.124 	 -29.524 	 1108 	0 	 0 	
4336 	 297 	 5361 	1057.98 	 72.468 	 1308.08 	0 	 0 	
4494 	 367 	 5666 	1096.54 	 89.548 	 1382.5 	0 	 0 	
3820 	 841 	 6563 	932.08 	 205.204 	 1601.37 	0 	 0 	
2499 	 1011 	 7026 	609.756 	 246.684 	 1714.34 	0 	 0 	
1387 	 1214 	 7331 	338.428 	 296.216 	 1788.76 	0 	 0 	
814 	 1579 	 8541 	198.616 	 385.276 	 2084 	0 	 0 	
245 	 1924 	 9252 	59.78 	 469.456 	 2257.49 	0 	 0 	
354 	 1926 	 8890 	86.376 	 469.944 	 2169.16 	0 	 0 	
530 	 1891 	 8555 	129.32 	 461.404 	 2087.42 	0 	 0 	
382 	 1878 	 7625 	93.208 	 458.232 	 1860.5 	0 	 0 	
-62 	 1768 	 7032 	-15.128 	 431.392 	 1715.81 	0 	 0 	
46 	 1697 	 6500 	11.224 	 414.068 	 1586 	0 	 0 	
169 	 1732 	 5797 	41.236 	 422.608 	 1414.47 	0 	 0 	
230 	 1891 	 4913 	56.12 	 461.404 	 1198.77 	0 	 0 	
691 	 2052 	 3168 	168.604 	 500.688 	 772.992 	0 	 0 	
866 	 2082 	 1968 	211.304 	 508.008 	 480.192 	0 	 0 	
808 	 2658 	 882 	197.152 	 648.552 	 215.208 	0 	 0 	
1741 	 1020 	 1236 	424.804 	 248.88 	 301.584 	0 	 0 	
2934 	 3300 	 -5707 	715.896 	 805.2 	 -1392.51 	0 	 0 	
2130 	 621 	 -16714 	519.72 	 151.524 	 -4078.22 	0 	 0 	
-3307 	 -4216 	 -27626 	-806.908 	 -1028.7 	 -6740.74 	0 	 0 	
-10035 	 -8439 	 -32593 	-2448.54 	 -2059.12 	 -7952.69 	0 	 0 	
-8783 	 -662 	 -25001 	-2143.05 	 -161.528 	 -6100.24 	0 	 0 	
-3509 	 10988 	 -13143 	-856.196 	 2681.07 	 -3206.89 	0 	 0 	
3190 	 11424 	 159 	778.36 	 2787.46 	 38.796 	0 	 0 	
18165 	 13584 	 4414 	4432.26 	 3314.5 	 1077.02 	0 	 0 	
31518 	 13402 	 17566 	7690.39 	 3270.09 	 4286.1 	0 	 0 	
24858 	 25361 	 28354 	6065.35 	 6188.08 	 6918.38 	0 	 0 	
451 	 24847 	 28619 	110.044 	 6062.67 	 6983.04 	0 	 0 	
-6985 	 11954 	 7226 	-1704.34 	 2916.78 	 1763.14 	0 	 0 	
110 	 -1732 	 -6284 	26.84 	 -422.608 	 -1533.3 	0 	 0 	
7233 	 -1110 	 -4238 	1764.85 	 -270.84 	 -1034.07 	0 	 0 	
4254 	 -304 	 1100 	1037.98 	 -74.176 	 268.4 	0 	 0 	
-772 	 -1201 	 220 	-188.368 	 -293.044 	 53.68 	0 	 0 	
-2707 	 -4393 	 -1771 	-660.508 	 -1071.89 	 -432.124 	0 	 0 	
-1893 	 -3456 	 -1158 	-461.892 	 -843.264 	 -282.552 	0 	 0 	
1319 	 -948 	 -664 	321.836 	 -231.312 	 -162.016 	0 	 0 	
4433 	 740 	 -2565 	1081.65 	 180.56 	 -625.86 	0 	 0 	
4948 	 1447 	 -4037 	1207.31 	 353.068 	 -985.028 	0 	 0 	
4101 	 1315 	 -4321 	1000.64 	 320.86 	 -1054.32 	0 	 0 	
3881 	 785 	 -3110 	946.964 	 191.54 	 -758.84 	0 	 0 	
4380 	 776 	 -2453 	1068.72 	 189.344 	 -598.532 	0 	 0 	
4950 	 668 	 -2246 	1207.8 	 162.992 	 -548.024 	0 	 0 	
4791 	 503 	 -2493 	1169 	 122.732 	 -608.292 	0 	 0 	
4330 	 58 	 -2442 	1056.52 	 14.152 	 -595.848 	0 	 0 	
4068 	 -374 	 -2643 	992.592 	 -91.256 	 -644.892 	0 	 0 	
3517 	 -176 	 -2296 	858.148 	 -42.944 	 -560.224 	0 	 0 	
2847 	 267 	 -1368 	694.668 	 65.148 	 -333.792 	0 	 0 	
3107 	 211 	 -966 	758.108 	 51.484 	 -235.704 	0 	 0 	
3312 	 -2 	 -1247 	808.128 	 -0.488 	 -304.268 	0 	 0 	
3328 	 -86 	 -1770 	812.032 	 -20.984 	 -431.88 	0 	 0 	
3358 	 83 	 -1956 	819.352 	 20.252 	 -477.264 	0 	 0 	
3546 	 273 	 -1740 	865.224 	 66.612 	 -424.56 	0 	 0 	
3941 	 204 	 -1878 	961.604 	 49.776 	 -458.232 	0 	 0 	
4200 	 140 	 -2052 	1024.8 	 34.16 	 -500.688 	0 	 0 	
4062 	 104 	 -1920 	991.128 	 25.376 	 -468.48 	0 	 0 	
3971 	 112 	 -1719 	968.924 	 27.328 	 -419.436 	0 	 0 	
4019 	 134 	 -1394 	980.636 	 32.696 	 -340.136 	0 	 0 	
4041 	 162 	 -1297 	986.004 	 39.528 	 -316.468 	0 	 0 	
3876 	 274 	 -1054 	945.744 	 66.856 	 -257.176 	0 	 0 	
3820 	 427 	 -1224 	932.08 	 104.188 	 -298.656 	0 	 0 	
3767 	 572 	 -1240 	919.148 	 139.568 	 -302.56 	0 	 0 	
4060 	 278 	 -1046 	990.64 	 67.832 	 -255.224 	0 	 0 	
4307 	 92 	 -1221 	1050.91 	 22.448 	 -297.924 	0 	 0 	
4271 	 141 	 -999 	1042.12 	 34.404 	 -243.756 	0 	 0 	
4415 	 168 	 -859 	1077.26 	 40.992 	 -209.596 	0 	 0 	
4403 	 55 	 -963 	1074.33 	 13.42 	 -234.972 	0 	 0 	
4345 	 3 	 -978 	1060.18 	 0.732 	 -238.632 	0 	 0 	
3875 	 163 	 -755 	945.5 	 39.772 	 -184.22 	0 	 0 	
3382 	 304 	 -213 	825.208 	 74.176 	 -51.972 	0 	 0 	
3439 	 494 	 281 	839.116 	 120.536 	 68.564 	0 	 0 	
3953 	 414 	 654 	964.532 	 101.016 	 159.576 	0 	 0 	
3784 	 633 	 508 	923.296 	 154.452 	 123.952 	0 	 0 	
4124 	 597 	 532 	1006.26 	 145.668 	 129.808 	0 	 0 	
4468 	 379 	 514 	1090.19 	 92.476 	 125.416 	0 	 0 	
4518 	 311 	 268 	1102.39 	 75.884 	 65.392 	0 	 0 	
4277 	 242 	 343 	1043.59 	 59.048 	 83.692 	0 	 0 	
3920 	 303 	 462 	956.48 	 73.932 	 112.728 	0 	 0 	
3596 	 257 	 738 	877.424 	 62.708 	 180.072 	0 	 0 	
3510 	 212 	 927 	856.44 	 51.728 	 226.188 	0 	 0 	
3460 	 352 	 1288 	844.24 	 85.888 	 314.272 	0 	 0 	
3607 	 255 	 1435 	880.108 	 62.22 	 350.14 	0 	 0 	
4055 	 -199 	 1115 	989.42 	 -48.556 	 272.06 	0 	 0 	
4136 	 -382 	 596 	1009.18 	 -93.208 	 145.424 	0 	 0 	
4252 	 -143 	 335 	1037.49 	 -34.892 	 81.74 	0 	 0 	
4378 	 23 	 719 	1068.23 	 5.612 	 175.436 	0 	 0 	
4492 	 157 	 1117 	1096.05 	 38.308 	 272.548 	0 	 0 	
4079 	 466 	 1479 	995.276 	 113.704 	 360.876 	0 	 0 	
3708 	 -119 	 1481 	904.752 	 -29.036 	 361.364 	0 	 0 	
3228 	 -368 	 686 	787.632 	 -89.792 	 167.384 	0 	 0 	
2742 	 117 	 675 	669.048 	 28.548 	 164.7 	0 	 0 	
2382 	 225 	 1357 	581.208 	 54.9 	 331.108 	0 	 0 	
2172 	 419 	 1980 	529.968 	 102.236 	 483.12 	0 	 0 	
2417 	 606 	 2148 	589.748 	 147.864 	 524.112 	0 	 0 	
2806 	 553 	 2381 	684.664 	 134.932 	 580.964 	0 	 0 	
2967 	 85 	 2629 	723.948 	 20.74 	 641.476 	0 	 0 	
2167 	 228 	 2909 	528.748 	 55.632 	 709.796 	0 	 0 	
1393 	 1077 	 3629 	339.892 	 262.788 	 885.476 	0 	 0 	
1146 	 1071 	 4256 	279.624 	 261.324 	 1038.46 	0 	 0 	
997 	 952 	 4405 	243.268 	 232.288 	 1074.82 	0 	 0 	
776 	 824 	 3866 	189.344 	 201.056 	 943.304 	0 	 0 	
480 	 924 	 3291 	117.12 	 225.456 	 803.004 	0 	 0 	
264 	 805 	 2868 	64.416 	 196.42 	 699.792 	0 	 0 	
524 	 806 	 3018 	127.856 	 196.664 	 736.392 	0 	 0 	
601 	 695 	 3880 	146.644 	 169.58 	 946.72 	0 	 0 	
637 	 605 	 4499 	155.428 	 147.62 	 1097.76 	0 	 0 	
493 	 706 	 4676 	120.292 	 172.264 	 1140.94 	0 	 0 	
437 	 498 	 4829 	106.628 	 121.512 	 1178.28 	0 	 0 	
513 	 319 	 4686 	125.172 	 77.836 	 1143.38 	0 	 0 	
558 	 405 	 3940 	136.152 	 98.82 	 961.36 	0 	 0 	
-11 	 378 	 3722 	-2.684 	 92.232 	 908.168 	0 	 0 	
-911 	 547 	 4190 	-222.284 	 133.468 	 1022.36 	0 	 0 	
-699 	 417 	 5080 	-170.556 	 101.748 	 1239.52 	0 	 0 	
-169 	 -53 	 5678 	-41.236 	 -12.932 	 1385.43 	0 	 0 	
382 	 -338 	 5722 	93.208 	 -82.472 	 1396.17 	0 	 0 	
407 	 -406 	 5408 	99.308 	 -99.064 	 1319.55 	0 	 0 	
-177 	 -292 	 5945 	-43.188 	 -71.248 	 1450.58 	0 	 0 	
-488 	 -313 	 6354 	-119.072 	 -76.372 	 1550.38 	0 	 0 	
38 	 460 	 3345 	9.272 	 112.24 	 816.18 	0 	 0 	
-73 	 473 	 3637 	-17.812 	 115.412 	 887.428 	0 	 0 	
73 	 451 	 3793 	17.812 	 110.044 	 925.492 	0 	 0 	
-440 	 421 	 3823 	-107.36 	 102.724 	 932.812 	0 	 0 	
-1796 	 311 	 2477 	-438.224 	 75.884 	 604.388 	0 	 0 	
1345 	 -494 	 3095 	328.18 	 -120.536 	 755.18 	0 	 0 	
-444 	 -1660 	 5159 	-108.336 	 -405.04 	 1258.8 	0 	 0 	
213 	 114 	 3912 	51.972 	 27.816 	 954.528 	0 	 0 	
-117 	 -368 	 3658 	-28.548 	 -89.792 	 892.552 	0 	 0 	
-64 	 273 	 4458 	-15.616 	 66.612 	 1087.75 	0 	 0 	
-4 	 138 	 4113 	-0.976 	 33.672 	 1003.57 	0 	 0 	
48 	 264 	 4191 	11.712 	 64.416 	 1022.6 	0 	 0 	
34 	 228 	 4119 	8.296 	 55.632 	 1005.04 	0 	 0 	
-26 	 270 	 4204 	-6.344 	 65.88 	 1025.78 	0 	 0 	
-148 	 427 	 4136 	-36.112 	 104.188 	 1009.18 	0 	 0 	
-54 	 320 	 4168 	-13.176 	 78.08 	 1016.99 	0 	 0 	
156 	 -48 	 4152 	38.064 	 -11.712 	 1013.09 	0 	 0 	
154 	 -49 	 4145 	37.576 	 -11.956 	 1011.38 	0 	 0 	
153 	 -56 	 4158 	37.332 	 -13.664 	 1014.55 	0 	 0 	
151 	 -51 	 4148 	36.844 	 -12.444 	 1012.11 	0 	 0 	
153 	 -51 	 4156 	37.332 	 -12.444 	 1014.06 	0 	 0 	
156 	 -59 	 4156 	38.064 	 -14.396 	 1014.06 	0 	 0 	
147 	 -55 	 4149 	35.868 	 -13.42 	 1012.36 	0 	 0 	
153 	 -45 	 4155 	37.332 	 -10.98 	 1013.82 	0 	 0 	
157 	 -47 	 4154 	38.308 	 -11.468 	 1013.58 	0 	 0 	
